City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
103,Muros,ES,54.09,few clouds,42.7762,-9.0603,Apartment Av. Castelao
104,Manjacaze,MZ,73.92,light rain,-24.7117,33.8828,Hotel Gani
105,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
107,Vila Do Maio,CV,83.19,clear sky,15.1333,-23.2167,Hotel Marilu
108,Beloha,MG,75.85,overcast clouds,-25.1667,45.05,
110,Bharatpur,IN,50.23,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
111,Bubaque,GW,79.07,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
112,Lasa,IT,40.46,clear sky,46.6166,10.7002,Pension Feldgärtenhof
113,East London,ZA,67.14,light intensity drizzle,-33.0153,27.9116,Tu Casa
115,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
117,Ahipara,NZ,71.15,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
118,Lorengau,PG,80.71,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
119,Butaritari,KI,82.24,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
121,Broken Hill,AU,69.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
122,Nishihara,JP,56.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
123,Paita,PE,88.36,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
124,Port Augusta,AU,75.7,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
126,Espinosa,BR,82.53,overcast clouds,-14.9261,-42.8192,Hotel Vilma
127,Namibe,AO,74.48,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
128,Porto-Vecchio,FR,54.93,overcast clouds,41.591,9.2795,Hôtel Le Goéland - Casa Santini
130,Atar,MR,87.94,clear sky,20.5169,-13.0499,Oumou Elghoura
132,Ulladulla,AU,64.09,overcast clouds,-35.35,150.4667,Sandpiper Motel
133,Kodiak,US,31.51,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
134,Monrovia,LR,87.57,scattered clouds,6.3005,-10.7969,Sunset Inn
135,Geraldton,AU,70.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
136,Port Alfred,ZA,70.23,light rain,-33.5906,26.891,The Halyards Hotel
138,Codrington,AU,56.62,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
139,Sao Filipe,CV,75.06,clear sky,14.8961,-24.4956,Hotel Xaguate
140,Port Hardy,CA,40.75,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
141,Mitsamiouli,KM,82.69,scattered clouds,-11.3847,43.2844,Foyer ADM
144,Matamoros,MX,46.11,clear sky,25.5333,-103.25,Quinta Belem
145,Hilo,US,72.63,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
147,Souillac,MU,80.37,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
149,Kruisfontein,ZA,66.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
150,Palu,ID,75.97,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
151,San Quintin,MX,62.1,clear sky,30.4833,-115.95,Don Eddie's Landing
152,Bardiyah,LY,56.91,clear sky,31.7561,25.0865,بورتو بردية
154,Komsomolskiy,UZ,42.22,broken clouds,40.4272,71.7189,Ikathouse
155,Victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
156,Waitati,NZ,50.81,few clouds,-45.75,170.5667,Arden Country House BnB Dunedin
157,Nkhotakota,MW,74.75,light rain,-12.9274,34.2961,Sitima Inn
159,Albury,AU,59.05,clear sky,-36.0833,146.9167,Albury Georgian Motel & Suites
160,Matay,EG,55.45,clear sky,28.419,30.7792,Nag Aespen
162,Sitka,US,39.18,light rain,57.0531,-135.33,Westmark Sitka
163,Kathu,TH,80.42,broken clouds,7.9178,98.3332,Novotel Phuket Resort
164,Inhambane,MZ,80.58,scattered clouds,-23.865,35.3833,Oceano
165,Provins,FR,45.91,scattered clouds,48.5833,3.1667,Gîte de Corberon
166,Lebu,CL,64.13,clear sky,-37.6167,-73.65,Hostal Las Lilas
167,Naze,JP,51.04,broken clouds,28.3667,129.4833,Shishime Hotel
168,Kavaratti,IN,78.87,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
169,Bonthe,SL,82.99,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
172,Kalmunai,LK,75.7,clear sky,7.4167,81.8167,VS Villa
173,Jiangyou,CN,40.05,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
175,Vila Franca Do Campo,PT,65.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
176,La Rioja,ES,39.31,broken clouds,42.25,-2.5,Casa Concejos
177,Bailieborough,IE,47.43,overcast clouds,53.9167,-6.9667,The Rock Equestrian Farm B&B
178,Ransang,PH,78.17,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
179,Havelock,US,48.06,scattered clouds,34.8791,-76.9013,Sherwood Motel
180,Hithadhoo,MV,82.56,overcast clouds,-0.6,73.0833,Scoop Guest House
182,Jiangkou,CN,49.89,broken clouds,25.4872,119.1986,DFM Hotel
183,Santa Vitoria Do Palmar,BR,79.75,overcast clouds,-33.5189,-53.3681,Hostel Comodoro
184,Myronivka,UA,31.66,light snow,49.6601,30.9823,Petryky Dim Myronivka
186,Kudahuvadhoo,MV,81.77,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
187,Sao Miguel Do Araguaia,BR,87.73,moderate rain,-13.275,-50.1628,Hotel Executivo Palace
188,Lubana,LV,33.22,overcast clouds,56.9,26.7167,Naktsmītne Lubānā
189,Yueyang,CN,43.18,light rain,29.3333,113.0919,Delong Fortune Hotel
191,Bunia,CD,70.14,overcast clouds,1.5667,30.25,Gold Star International Hotel
192,Saint George,US,52.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
193,Cadca,SK,35.76,broken clouds,49.435,18.789,Hotel Lipa
194,Minggang,CN,31.96,overcast clouds,32.4586,114.0486,Yindu Hotel
196,Kulhudhuffushi,MV,80.51,scattered clouds,6.6221,73.07,Haajy Guest House 1
198,Sikasso,ML,89.4,scattered clouds,10.9167,-7.0,
202,Presidente Epitacio,BR,86.38,broken clouds,-21.7633,-52.1156,Hotel Itaverá
203,Adrar,MR,77.05,scattered clouds,20.5022,-10.0711,
204,Aripuana,BR,81.3,overcast clouds,-9.1667,-60.6333,
205,Wenling,CN,39.52,few clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
206,Sorland,NO,39.7,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
208,Gat,IL,54.28,broken clouds,31.61,34.7642,OlusHome
209,Tadine,NC,79.23,moderate rain,-21.55,167.8833,
210,Guerrero Negro,MX,64.17,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
211,Ixtapa,MX,85.24,broken clouds,20.7,-105.2,Hotel Plaza Providencia
213,Vilhena,BR,84.42,broken clouds,-12.7406,-60.1458,Hotel Mirage
214,Klaksvik,FO,36.52,overcast clouds,62.2266,-6.589,Airbnb rooms
215,Christchurch,NZ,53.91,overcast clouds,-43.5333,172.6333,The George
216,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
217,Ghosi,IN,51.94,clear sky,26.1083,83.5436,Bhudisagar
219,Starogard Gdanski,PL,39.11,overcast clouds,53.964,18.5264,Hotel Ren
221,Aquin,HT,81.75,broken clouds,18.2833,-73.4,Asheev Beach
222,Baghdad,IQ,53.51,clear sky,33.3406,44.4009,Baghdad Hotel
223,Camacha,PT,65.53,clear sky,33.0833,-16.3333,Hotel Porto Santo & Spa
224,Seminole,US,62.85,overcast clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
225,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
226,Najran,SA,72.25,few clouds,17.4924,44.1277,محمد هادي ال فطيح
227,Ugoofaaru,MV,81.09,clear sky,5.6667,73.0,Ungoofaaru Inn
230,Ormara,PK,71.94,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
231,Moron,AR,73.96,overcast clouds,-34.6534,-58.6198,Hotel Morón
232,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
234,Herat,AF,49.42,light rain,34.5,62.0,
235,Maldonado,UY,78.19,scattered clouds,-34.6667,-54.9167,La Cimarrona
236,Nabire,ID,75.38,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
237,Ta Khmau,KH,80.65,scattered clouds,11.4833,104.95,Takhmao Good Health Hotel
240,Sakakah,SA,56.77,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
242,Kathmandu,NP,43.02,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
243,Sechura,PE,83.21,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
244,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
245,Myitkyina,MM,55.17,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
246,Mindelo,CV,76.55,clear sky,16.8901,-24.9804,Hotel Gaudi
247,Benalla,AU,57.58,clear sky,-36.55,145.9833,Rose City Motor Inn
248,Krasnyy Yar,RU,30.13,overcast clouds,46.5331,48.3456,Cottege near Ufa
249,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
250,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
251,Cabo San Lucas,MX,72.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
252,Hazorasp,UZ,44.44,overcast clouds,41.3194,61.0742,Kemping wifi hotel
253,San Bartolome De Tirajana,ES,62.31,clear sky,27.9248,-15.5733,Las Tirajanas
254,Pisco,PE,72.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
255,Lompoc,US,67.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
256,Isangel,VU,79.7,overcast clouds,-19.55,169.2667,Tanna Lodge
259,Camocim,BR,84.11,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
260,San Policarpo,PH,80.67,overcast clouds,12.1791,125.5072,Agapita M. Nicart
261,Yarada,IN,71.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
263,Ndele,CF,79.12,broken clouds,8.4109,20.6473,
264,Gladstone,AU,73.33,overcast clouds,-23.85,151.25,Highpoint International Hotel
265,Khandela,IN,52.43,clear sky,27.6,75.5,Castle Khandela
267,Brisenas,MX,71.4,few clouds,20.2667,-102.5667,Hotel Restaurant Real De La Barca
