City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Cherskiy,RU,2022-02-01 05:11:22,68.75,161.3,-4.4,88,100,5.95
67,Tuatapere,NZ,2022-02-01 05:11:22,-46.1333,167.6833,70.84,63,100,5.48
68,Lorengau,PG,2022-02-01 05:11:23,-2.0226,147.2712,77.65,90,100,14.88
69,Kaeo,NZ,2022-02-01 05:11:23,-35.1,173.7833,72.32,87,100,12.8
70,Sao Joao Da Barra,BR,2022-02-01 05:04:52,-21.6403,-41.0511,75.76,90,100,8.41
71,Nanae,JP,2022-02-01 05:11:23,41.8833,140.6833,31.28,61,84,11.63
72,Sambava,MG,2022-02-01 05:11:24,-14.2667,50.1667,79.7,77,100,7.7
73,New Norfolk,AU,2022-02-01 05:11:24,-42.7826,147.0587,76.5,37,38,5.99
74,Sonqor,IR,2022-02-01 05:11:25,34.7837,47.6004,29.21,94,93,3.42
75,Turayf,SA,2022-02-01 05:11:25,31.6725,38.6637,39.2,80,4,5.99
76,Georgetown,MY,2022-02-01 05:11:25,5.4112,100.3354,91.33,55,20,8.05
77,Sydney Mines,CA,2022-02-01 05:11:26,46.2367,-60.2177,18.16,76,12,1.01
78,Butaritari,KI,2022-02-01 05:11:26,3.0707,172.7902,81.95,78,89,13.0
79,Hithadhoo,MV,2022-02-01 05:11:26,-0.6,73.0833,82.56,71,9,12.41
80,Bengkulu,ID,2022-02-01 05:11:27,-3.8004,102.2655,84.63,67,76,8.7
81,Khatanga,RU,2022-02-01 05:11:27,71.9667,102.5,-29.97,100,16,4.03
82,Abu Zabad,SD,2022-02-01 05:09:08,12.35,29.25,54.16,27,2,15.03
83,Rabo De Peixe,PT,2022-02-01 05:11:28,37.8,-25.5833,56.71,95,20,9.22
84,Kapaa,US,2022-02-01 05:09:45,22.0752,-159.319,73.38,79,75,5.75
85,Constitucion,CL,2022-02-01 05:11:28,-35.3333,-72.4167,56.93,74,0,3.51
86,Avarua,CK,2022-02-01 05:11:28,-21.2078,-159.775,78.85,78,100,11.5
87,Bayanday,RU,2022-02-01 05:11:29,53.0661,105.5139,1.15,91,97,0.29
88,Alofi,NU,2022-02-01 05:11:29,-19.0595,-169.9187,79.41,68,93,5.61
89,Martinez,US,2022-02-01 05:08:59,38.0194,-122.1341,54.18,82,0,5.75
90,Pangnirtung,CA,2022-02-01 05:11:30,66.1451,-65.7125,-29.94,95,97,4.18
91,Sioux Lookout,CA,2022-02-01 05:11:31,50.1001,-91.917,23.38,93,100,9.22
92,Anshun,CN,2022-02-01 05:11:31,26.25,105.9333,33.62,97,100,6.58
93,San Ignacio,BZ,2022-02-01 05:11:32,17.1561,-89.0714,68.14,88,0,6.91
94,Asyut,EG,2022-02-01 05:11:32,27.181,31.1837,45.99,69,3,2.55
95,Morros,BR,2022-02-01 05:12:33,-9.4467,-46.3003,72.9,77,80,0.38
96,Willemstad,CW,2022-02-01 05:12:33,12.1084,-68.9335,78.69,79,18,16.82
97,Chuy,UY,2022-02-01 05:12:33,-33.6971,-53.4616,59.49,68,0,5.28
98,Chifeng,CN,2022-02-01 05:12:34,42.2683,118.9636,19.65,31,0,12.44
99,Navrongo,GH,2022-02-01 05:12:34,10.8956,-1.0921,68.86,17,4,8.28
